64,192,1772,5,0,0:0:0:0:
320,192,1772,1,0,0:0:0:0:
448,192,1772,1,0,0:0:0:0:
64,192,2443,1,0,0:0:0:0:
320,192,2667,1,0,0:0:0:0:
192,192,2891,1,0,0:0:0:0:
448,192,3115,1,0,0:0:0:0:
64,192,3563,1,0,0:0:0:0:
192,192,3563,1,0,0:0:0:0:
448,192,3563,1,0,0:0:0:0:
64,192,4234,1,0,0:0:0:0:
192,192,4458,1,0,0:0:0:0:
320,192,4682,1,0,0:0:0:0:
448,192,4906,1,0,0:0:0:0:
64,192,5354,1,0,0:0:0:0:
192,192,5354,1,0,0:0:0:0:
320,192,5354,1,0,0:0:0:0:
192,192,6025,1,0,0:0:0:0:
64,192,6249,1,0,0:0:0:0:
320,192,6473,1,0,0:0:0:0:
448,192,6697,1,0,0:0:0:0:
64,192,7145,1,0,0:0:0:0:
192,192,7145,1,0,0:0:0:0:
320,192,7145,1,0,0:0:0:0:
64,192,7816,1,0,0:0:0:0:
192,192,8040,1,0,0:0:0:0:
320,192,8264,1,0,0:0:0:0:
448,192,8488,1,0,0:0:0:0:
192,192,8712,1,0,0:0:0:0:
64,192,8936,1,0,0:0:0:0:
320,192,8936,1,0,0:0:0:0:
448,192,8936,1,0,0:0:0:0:
64,192,9607,1,0,0:0:0:0:
320,192,9831,1,0,0:0:0:0:
192,192,10055,1,0,0:0:0:0:
448,192,10279,1,0,0:0:0:0:
64,192,10727,1,0,0:0:0:0:
192,192,10727,1,0,0:0:0:0:
448,192,10727,1,0,0:0:0:0:
64,192,11398,1,0,0:0:0:0:
192,192,11622,1,0,0:0:0:0:
320,192,11846,1,0,0:0:0:0:
448,192,12070,1,0,0:0:0:0:
64,192,12518,1,0,0:0:0:0:
192,192,12518,1,0,0:0:0:0:
320,192,12518,1,0,0:0:0:0:
192,192,13189,1,0,0:0:0:0:
64,192,13413,1,0,0:0:0:0:
320,192,13637,1,0,0:0:0:0:
448,192,13861,1,0,0:0:0:0:
64,192,14309,1,0,0:0:0:0:
192,192,14309,1,0,0:0:0:0:
320,192,14309,1,0,0:0:0:0:
64,192,14981,1,0,0:0:0:0:
192,192,15204,1,0,0:0:0:0:
320,192,15428,1,0,0:0:0:0:
448,192,15652,1,0,0:0:0:0:
